Email id,From Name,From seniority,From Department,To Name,To seniority,To Department,Email topic,Date,Is opened?,Device,Within work hours,Within workdays,Department color,Department aura,Predicted_Sentiment,Confidence_Score
55,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Internal Policies and Procedures,2024-03-01,unopened,desktop,no,yes,red,aura1,neutral,0.8016245365142822
56,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
57,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-05,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
58,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-12,opened,desktop,no,yes,red,aura1,neutral,0.6735418438911438
59,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-19,opened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
60,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-29,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
61,Leona McAree,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-04,opened,mobile,yes,yes,red,aura1,neutral,0.6735418438911438
62,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Project Updates,2024-03-29,opened,mobile,yes,yes,red,aura1,neutral,0.808040976524353
63,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Client Related Communication,2024-03-08,opened,desktop,no,yes,red,aura1,neutral,0.83217453956604
64,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Internal Policies and Procedures,2024-03-04,opened,desktop,yes,yes,red,aura1,neutral,0.8016245365142822
65,Leona McAree,C-level,Executive Management,Mata McGifford,Middle level management,Customer Service,Operational Issues,2024-03-28,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
66,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Project Updates,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
67,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Training and Development,2024-03-13,opened,desktop,yes,yes,red,aura1,neutral,0.6831164360046387
68,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-15,opened,mobile,yes,yes,red,aura1,neutral,0.7993121147155762
69,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,HR related topics,2024-03-29,opened,desktop,yes,yes,red,aura1,neutral,0.8412798047065735
70,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
71,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-12,opened,desktop,no,yes,red,aura1,neutral,0.7993121147155762
72,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Internal Policies and Procedures,2024-03-25,opened,desktop,yes,yes,red,aura1,neutral,0.8016245365142822
73,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-04,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
74,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-06,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
75,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-15,opened,desktop,no,yes,red,aura1,neutral,0.7993121147155762
76,Leona McAree,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Product Development,2024-03-04,unopened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
77,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,2024-03-25,opened,mobile,yes,yes,red,aura1,neutral,0.8412798047065735
78,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Internal Policies and Procedures,2024-03-07,opened,desktop,yes,yes,red,aura1,neutral,0.8016245365142822
79,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-11,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
80,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
81,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
82,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-28,opened,mobile,yes,yes,red,aura1,positive,0.5200981497764587
83,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,opened,desktop,no,yes,red,aura1,positive,0.5200981497764587
84,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,opened,desktop,no,yes,red,aura1,positive,0.5200981497764587
85,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
86,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-28,unopened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
87,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-05,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
88,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-19,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
89,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Training and Development,2024-03-28,opened,mobile,yes,yes,red,aura1,neutral,0.6831164360046387
90,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-26,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
91,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-13,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
92,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,HR related topics,2024-03-18,opened,desktop,yes,yes,red,aura1,neutral,0.8412798047065735
93,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
94,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-12,unopened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
95,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-05,opened,desktop,no,yes,red,aura1,neutral,0.8804826140403748
96,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-25,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
97,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-07,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
98,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-25,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
99,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-29,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
100,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-21,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
101,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,opened,mobile,no,yes,red,aura1,positive,0.5200981497764587
102,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-28,opened,mobile,yes,yes,red,aura1,neutral,0.8804826140403748
103,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-11,opened,mobile,yes,yes,red,aura1,neutral,0.808040976524353
104,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-29,unopened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
105,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-04,opened,mobile,yes,yes,red,aura1,neutral,0.8804826140403748
106,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-12,unopened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
107,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
108,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-14,opened,desktop,no,yes,red,aura1,neutral,0.8804826140403748
109,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-15,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
110,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Security Alerts,2024-03-18,opened,desktop,yes,yes,red,aura1,neutral,0.8322566151618958
111,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Sales and Marketing,2024-03-29,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
112,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-22,opened,desktop,no,yes,red,aura1,positive,0.5200981497764587
113,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
114,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-04,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
115,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Operational Issues,2024-03-15,opened,desktop,yes,yes,red,aura1,negative,0.5376729369163513
116,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
117,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-28,unopened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
118,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-11,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
119,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
185,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-26,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
186,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Meeting Scheduling,2024-03-25,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
187,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Project Updates,2024-03-19,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
188,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-04,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
189,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Product Development,2024-03-08,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
190,Leona McAree,C-level,Executive Management,Jorey Deguara,Middle level management,Product development,Vendor Relations,2024-03-07,opened,desktop,yes,yes,red,aura1,neutral,0.883733332157135
191,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Meeting Scheduling,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
192,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Internal Policies and Procedures,2024-03-14,opened,desktop,no,yes,red,aura1,neutral,0.8016245365142822
193,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Project Updates,2024-03-17,opened,mobile,no,no,red,aura1,neutral,0.808040976524353
194,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-27,opened,desktop,yes,yes,red,aura1,neutral,0.8412798047065735
195,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,HR related topics,2024-03-21,opened,desktop,yes,yes,red,aura1,neutral,0.8412798047065735
196,Constancia Di Bartolomeo,C-level,Executive Management,Elsinore Waterland,Middle level management,Human Resources,Operational Issues,2024-03-17,opened,desktop,no,no,red,aura1,negative,0.5376729369163513
197,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Meeting Scheduling,2024-03-29,opened,mobile,no,yes,red,aura1,neutral,0.8804826140403748
198,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-27,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
199,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
200,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-07,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
201,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Internal Policies and Procedures,2024-03-29,opened,desktop,no,yes,red,aura1,neutral,0.8016245365142822
202,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Product Development,2024-03-18,opened,mobile,yes,yes,red,aura1,positive,0.5200981497764587
203,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Project Updates,2024-03-08,opened,desktop,no,yes,red,aura1,neutral,0.808040976524353
204,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Finance and Accounting,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.8176727890968323
205,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Legal Matters,2024-03-29,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
206,Constancia Di Bartolomeo,C-level,Executive Management,Blithe Arnaudet,Middle level management,Finance and Accounting,Vendor Relations,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.883733332157135
207,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-15,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
208,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-19,unopened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
209,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Product Development,2024-03-12,opened,desktop,yes,yes,red,aura1,positive,0.5200981497764587
210,Constancia Di Bartolomeo,C-level,Executive Management,Traci Habbal,Middle level management,Marketing,Sales and Marketing,2024-03-20,opened,desktop,yes,yes,red,aura1,neutral,0.7378632426261902
211,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Operational Issues,2024-03-17,opened,mobile,no,no,red,aura1,negative,0.5376729369163513
212,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),HR related topics,2024-03-15,unopened,mobile,yes,yes,red,aura1,neutral,0.8412798047065735
213,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-20,opened,desktop,no,yes,red,aura1,neutral,0.8804826140403748
214,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Technical Support,2024-03-18,unopened,desktop,yes,yes,red,aura1,neutral,0.6735418438911438
215,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Project Updates,2024-03-12,opened,desktop,yes,yes,red,aura1,neutral,0.808040976524353
216,Constancia Di Bartolomeo,C-level,Executive Management,Abigael Alred,Middle level management,Information Technology (IT),Meeting Scheduling,2024-03-19,unopened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
217,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Meeting Scheduling,2024-03-22,opened,desktop,yes,yes,red,aura1,neutral,0.8804826140403748
218,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-08,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
219,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-06,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
220,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,HR related topics,2024-03-01,opened,desktop,no,yes,red,aura1,neutral,0.8412798047065735
221,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-07,opened,mobile,yes,yes,red,aura1,neutral,0.7993121147155762
222,Constancia Di Bartolomeo,C-level,Executive Management,Jeannie Moggan,Middle level management,Legal,Legal Matters,2024-03-08,opened,desktop,yes,yes,red,aura1,neutral,0.7993121147155762
